University,Projected,2020-21,2021-22,2022-23,2023-24,2024-25,Updated
University of Windsor,Undergraduate FFTE,11180,11470,11625,11710,11725,"Saturday November 28, 2020"
University of Windsor,Master’s FFTE,1150,1140,1135,1140,1140,"Saturday November 28, 2020"
University of Windsor,Doctoral FFTE,190,195,195,205,210,"Saturday November 28, 2020"
University of Windsor,Total FFTE,12520,12805,12955,13055,13075,"Saturday November 28, 2020"
OTU (UOIT),Undergraduate FFTE,7200,7350,7730,8125,8650,"Saturday November 28, 2020"
OTU (UOIT),Master’s FFTE,325,350,425,470,500,"Saturday November 28, 2020"
OTU (UOIT),Doctoral FFTE,105,115,125,140,160,"Saturday November 28, 2020"
OTU (UOIT),Total FFTE,7630,7815,8280,8735,9310,"Saturday November 28, 2020"
Western University,Undergraduate FFTE,28449,28591,28734,28878,29023,"Saturday November 28, 2020"
Western University,Master’s FFTE,3197,3261,3327,3393,3461,"Saturday November 28, 2020"
Western University,Doctoral FFTE,1349,1376,1404,1432,1461,"Saturday November 28, 2020"
Western University,Total FFTE,32996,33229,33464,33703,33944,"Saturday November 28, 2020"
Wilfrid Laurier University,Undergraduate FFTE,16830,16740,16670,16830,16980,"Saturday November 28, 2020"
Wilfrid Laurier University,Master’s FFTE,822,822,822,822,822,"Saturday November 28, 2020"
Wilfrid Laurier University,Doctoral FFTE,194,194,194,194,194,"Saturday November 28, 2020"
Wilfrid Laurier University,Total FFTE,17846,17756,17686,17846,17996,"Saturday November 28, 2020"
York University,Undergraduate FFTE,36124,36377,36623,36874,37071,"Saturday November 28, 2020"
York University,Master’s FFTE,2261,2261,2261,2261,2261,"Saturday November 28, 2020"
York University,Doctoral FFTE,1165,1165,1165,1165,1165,"Saturday November 28, 2020"
York University,Total FFTE,39550,39803,40049,40300,40497,"Saturday November 28, 2020"
